"filename", "language", "Lua", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Collectibles\GetCollectibles.lua", "Lua", 12, 1, 3, 16
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Collectibles\GetCollectiblesByQuality.lua", "Lua", 6, 0, 1, 7
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\CustomCallbacks\GridEntityCallbacks\GridUpdateCallback.lua", "Lua", 20, 0, 6, 26
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\CustomCallbacks\SlotCallbacks\SlotInitCallback.lua", "Lua", -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\CustomCallbacks\SlotCallbacks\SlotUpdateCallback.lua", "Lua", -1, 0, 0, -1
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Enums\CustomCallbacks.lua", "Lua", 1, 0, 1, 2
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\GridEntities\GetGridEntities.lua", "Lua", 19, 0, 6, 25
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Players\GetPlayers\GetClosestPlayers.lua", "Lua", 14, 0, 5, 19
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\TSIL.lua", "Lua", 23, 0, 5, 28
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Flags\AddFlags.lua", "Lua", 7, 0, 2, 9
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Flags\HasFlags.lua", "Lua", 9, 0, 2, 11
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Flags\RemoveFlags.lua", "Lua", 7, 0, 2, 9
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Random\RandomFromWeighted.lua", "Lua", 26, 0, 8, 34
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Tables\Count.lua", "Lua", 3, 0, 1, 4
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\TSIL\Thicco-Standard-Isaac-Library\Utils\Tables\IsInTable.lua", "Lua", 6, 0, 1, 7
"Total", "-", 151, 1, 43, 195